review_id;sentiment;topic;summary
1;положительный;Дрель;Уверенно лежит в руке, подсветка помогает, зарядник греется.
2;нейтральный;Колонка;Справляется с задачей, бас есть, корпус пачкается.
3;положительный;Кресло;Спина устает меньше, собралось легко, появился скрип.
4;нейтральный;Часы;Будильник вибрирует, ремешок собирает пыль, магнит слабый.
5;нейтральный;Мышь;Колёсико тихое, приёмник теряется, пластик скользит.
6;положительный;Блендер;Удачная покупка, ножи острые, удобно мыть.
7;положительный;Электронная книга;Хорошая покупка, долгий заряд, плотная обложка.
8;отрицательный;Рюкзак;Много раздражений, ткань темнеет, нет кармана.
9;отрицательный;Смартфон;Плохое впечатление, динамик хрипит, слабая зарядка.
10;нейтральный;Кофеварка;Нормально со скидкой, пенка хорошая, есть оговорки.
11;положительный;робот-пылесос;Удобен в использовании, шумный ночью, но в целом хорош.
12;нейтральный;увлажнитель воздуха;Базовые функции хороши, но есть мелкие недостатки.
13;положительный;наушники;Хороший звук и микрофон, но кейс царапается.
14;нейтральный;термокружка;Держит тепло, но объем меньше заявленного.
15;отрицательный;чайник;Много минусов: шкала плохая, крышка заедает.
16;нейтральный;Дрель;Полезная покупка, но есть недостатки.
17;положительный;Колонка;Хорошая колонка для фоновой музыки.
18;положительный;Кресло;Удобное кресло для удаленной работы.
19;положительный;Смарт-часы;Помогают в повседневном использовании.
20;положительный;Мышь;Тихая и удобная мышь.
21;нейтральный;Блендер;Удобно мыть, но шумный и чаша тяжелая.
22;положительный;Электронная книга;Глаза устают меньше, шрифты настраиваются удобно.
23;нейтральный;Рюкзак;Ткань плотная, но ремешки ослабляются.
24;нейтральный;Смартфон;Сканер быстрый, но ночные фото мыльные.
25;положительный;Кофеварка;Простая панель, хорошо взбивает пенку.
26;отрицательный;недостатки;Ожидал помощника, получил источник раздражения.
27;нейтральный;смешанные впечатления;Пользоваться можно, но есть недостатки.
28;положительный;качество;Хорошие наушники за умеренные деньги.
29;отрицательный;неудобство;Много неприятных нюансов, не советую.
30;отрицательный;запах пластика;Покупка не зашла, есть серьезные минусы.
31;положительный;Дрель аккумуляторная;Покупкой доволен, несмотря на нехватку второго аккумулятора.
32;положительный;Колонка;Хорошее общее впечатление, рекомендую за умеренные деньги.
33;отрицательный;Кресло офисное;Исполнение хромает, скрип, буду искать замену.
34;положительный;Смарт-часы;Покупка попала в ожидания, достойно за свои деньги.
35;положительный;Мышь беспроводная;Удобная, тихая, свою задачу закрывает уверенно.
36;положительный;Блендер;Покупкой доволен, ножи острые, минус — тугая крышка.
37;отрицательный;Электронная книга;Мелкие раздражители, кнопки тугие, ожидания не оправдались.
38;положительный;Рюкзак;Ткань плотная, молнии плавные, покупка удачная.
39;положительный;Смартфон;Меню не тормозит, экран яркий, ночные фото мыльные.
40;отрицательный;Кофеварка;Мало места под кружку, вибрация, жаль денег.
41;положительный;робот-пылесос;Хорошо собирает крошки и шерсть, углы лениво.
42;положительный;увлажнитель воздуха;Мягкая подсветка, удобно доливать воду, ароматизация слабая.
43;нейтральный;наушники;Микрофон нормальный, давят при долгом ношении.
44;положительный;термокружка;Удобный клапан, легко моется, объем кажется меньше.
45;нейтральный;чайник;Крышка мягкая, подставка легкая, шумит заметно.
46;положительный;дрель;Покупкой доволен, несмотря на мелкие недостатки.
47;нейтральный;колонка;Средняя оценка, есть плюсы и минусы.
48;нейтральный;кресло;Не жалеет, но восторга нет из-за скрипа.
49;положительный;часы;Высокая оценка, мелкие минусы не портят впечатление.
50;отрицательный;мышь;Покупка не оправдала даже обычных ожиданий.
51;нейтральный;Блендер;Смешанные впечатления: колет лёд, но шумит и требует помощи.
52;положительный;Электронная книга;Честное устройство, оправдало ожидания после сомнений.
53;нейтральный;Рюкзак;Удобные карманы, но мягкое дно и форма.
54;нейтральный;Смартфон;Удобный корпус, но память мала и скользкий.
55;нейтральный;Кофеварка;Терпимо для цены, но вибрация и мало места.
56;нейтральный;робот-пылесос;Средняя оценка, есть плюсы и минусы.
57;отрицательный;увлажнитель воздуха;Ожидал помощника, получил источник раздражения.
58;отрицательный;наушники;Не подошли для ежедневного использования, давят.
59;нейтральный;термокружка;Есть плюсы и минусы, пока пользуюсь.
60;положительный;чайник;Хорошее попадание для сценария, приятно пользоваться.
61;нейтральный;Дрель аккумуляторная;В целом ожидания оправдались, но есть недостатки.
62;нейтральный;Колонка;В целом нормально, но есть мелкие недостатки.
63;отрицательный;Кресло офисное;Проблемы с болтами и сиденьем, жаль денег.
64;положительный;Смарт-часы;Приятно удивили, удобны в использовании.
65;положительный;Беспроводная мышь;Хорошая мышь для работы, рекомендую.
66;нейтральный;Блендер;Средняя покупка, есть плюсы и минусы.
67;отрицательный;Электронная книга;Разочарование, кнопки туговаты, корпус маркий.
68;положительный;Рюкзак;Удобный, лямки не давят, спина не потеет.
69;отрицательный;Смартфон;Мелкие раздражители, память забивается, ищет замену.
70;положительный;Кофеварка;Хорошая пенка, быстрый нагрев, покупкой доволен.
71;положительный;робот-пылесос;Удобный контейнер, понятное приложение, высокая оценка.
72;отрицательный;увлажнитель воздуха;Тугая крышка, белый налёт, плохое впечатление.
73;положительный;наушники;Удобные, шум приглушают, сенсор чувствительный.
74;нейтральный;термокружка;Моется легко, но дно скользит и царапается.
75;отрицательный;электрический чайник;Плохая шкала, заедает крышка, разочарование.
76;нейтральный;Дрель;Терпимо для цены, но есть недостатки.
77;отрицательный;Колонка;Мелкие раздражители испортили впечатление.
78;положительный;Кресло;Удобное кресло, удачная покупка.
79;положительный;Смарт-часы;Хорошие часы, заряда хватает надолго.
80;положительный;Мышь;Отличная мышь для работы из дома.
81;положительный;Блендер;Работает хорошо, но есть мелкие недостатки.
82;положительный;Электронная книга;Много приятных мелочей, но упаковка помята.
83;нейтральный;Рюкзак;Средняя покупка, есть недостатки и пыль.
84;положительный;Смартфон;Удобный и быстрый, но память забивается.
85;нейтральный;Кофеварка;Кофе вкусный, но под кружку мало места.
86;отрицательный;недостатки;Ожидания не оправдались, минусы перевесили плюсы
87;положительный;удобство;Хорошая вещь, мелочи не портят впечатление
88;положительный;качество;Честно делает своё дело, покупка удачная
89;положительный;удобство;Попадание в сценарий, приятно пользоваться
90;положительный;качество;Плюсы перевешивают мелкий недостаток, рекомендую
91;отрицательный;Дрель;Зарядник греется, на бетоне слабая, жаль денег.
92;положительный;Колонка;Крепкий корпус, быстрое соединение, хорошее впечатление.
93;нейтральный;Кресло;Удобно, но болты подтягивал, советовать не буду.
94;положительный;Часы;Набор мелочей радует, ремешок пылит, но доволен.
95;положительный;Мышь;Честно работает, курсор ровный, рекомендую за цену.
96;положительный;Блендер;Хороший блендер для соусов и коктейлей, но шумный.
97;отрицательный;Электронная книга;Много минусов, не рекомендую к покупке.
98;положительный;Рюкзак;Удобный рюкзак, но форма пустого плохая.
99;положительный;Смартфон;Удобный смартфон с хорошей камерой, но скользкий.
100;положительный;Кофеварка;Надежная кофеварка с насыщенным кофе и быстрым нагревом.
